year_month,invoice_count,revenue
2009-01,6,35.64
2009-02,7,37.62
2009-03,7,37.62
2009-04,7,37.62
2009-05,7,37.62
2009-06,7,37.62
2009-07,7,37.62
2009-08,7,37.62
2009-09,7,37.62
2009-10,7,37.62
2009-11,7,37.62
2009-12,7,37.62
2010-01,7,52.62
2010-02,7,46.62
2010-03,7,44.62
2010-04,7,37.62
2010-05,7,37.62
2010-06,7,37.62
2010-07,7,37.62
2010-08,7,37.62
2010-09,6,36.63
2010-10,7,37.62
2010-11,7,37.62
2010-12,7,37.62
2011-01,7,37.62
2011-02,7,37.62
2011-03,7,37.62
2011-04,7,51.62
2011-05,7,42.62
2011-06,7,50.62
2011-07,7,37.62
2011-08,7,37.62
2011-09,7,37.62
2011-10,7,37.62
2011-11,6,23.76
2011-12,7,37.62
2012-01,7,37.62
2012-02,7,37.62
2012-03,7,37.62
2012-04,7,37.62
2012-05,7,37.62
2012-06,7,37.62
2012-07,7,39.62
2012-08,7,47.62
2012-09,6,46.71
2012-10,7,42.62
2012-11,7,37.62
2012-12,7,37.62
2013-01,7,37.62
2013-02,5,27.72
2013-03,7,37.62
2013-04,5,33.66
2013-05,7,37.62
2013-06,7,37.62
2013-07,7,37.62
2013-08,7,37.62
2013-09,7,37.62
2013-10,7,37.62
2013-11,7,49.62
2013-12,7,38.62
